event_key,active,name,event_start,event_end,event_type,event_subtype,description,host_org,url,media_url,map,seats,goers,checkins,invite_only,venue,address,company,audience,subject,geo_area,tags,fsq_venue_id,custom1,custom2,custom4,custom5,id,venue_id,speakers,moderators,artists,sponsors,exhibitors,staff
"41","Y","How To Get Started In Cosplay","2019-05-03 16:00:00","2019-05-03 17:00:00","Cosplay","","Have you seen a lot of con goers dressed up in fabulous costumes? Would you like to join in on the fun? Feeling a little clueless on how to start or maybe a bit intimidated? We will talk about techniques to make a costume, sources of inspiration, how to choose a character, and trying to keep it all in a budget.","","","","","0","12","0","N","EMC I","","","","","","","","","","","","1d84164746828e2881d97cbf85d28901","931377","Jennifer Skwarski","","","","",""
"17","Y","Sketchy Nonsense Live Podcast 2: We're Doing It Again","2019-05-03 22:00:00","2019-05-04 00:00:00","After Dark","","Sketchy Nonsense is back again to do our patented (not actually patented) live podcast! Come see a group of guys do some live improv comedy for your listening pleasure. And also drink beer. And ALSO also, you can drink it with us! Sample the 'Beer of the Week' with us. It is most definitely 21+, so bring your big boy/girl/non-gender conforming pants and have a fun time! This event is 18+.","","","","","0","7","0","N","Food [317]","","","","","","","","","","","","1dbd066a1b44c0d1a170c1ee6aa01fe6","931350","Shane Soules, Andy Althouse, Nick Haynes, Anne LaCroix","","","","",""
"290","Y","The Women Who Gave Us Gaming","2019-05-05 10:00:00","2019-05-05 11:00:00","Tech","","Join us for a discussion on the gaming industry’s earliest female game programmers such as Carol Shaw, Dona Bailey, and Roberta Williams as well as those who who continue to make significant contributions in programming, design, and more.","","","","","0","11","0","N","Charlevoix B","","","","","","","","","","","","1f2ab89223be7f72db0bae3140615426","931344","Casey O'Donnell, Girlinthechair aka Alex","","","","",""
"162","Y","BurleXercise: A Burlesque Inspired Dance Fitness","2019-05-04 09:00:00","2019-05-04 10:00:00","Life","","BurleXercise is a fitness class created by Deborah O'Connell that takes the 'follow the leader' format that other fitness classes frequently use and puts burlesque inspired movement to it. This is not a burlesque how-to, this is a fitness class inspired by burlesque.","","","","","0","25","0","N","Algonquin A","","","","","","","","","","","","204ceb76d6fe813ac1a26129957c963c","931341","Deborah O'Connell","","","","",""
"172","Y","Nearly Passive Philanthropy","2019-05-05 13:00:00","2019-05-05 14:00:00","Life","","Join Count Discord as he discusses several ways that you can generate revenue for causes in a (nearly) passive way.","","","","","0","6","0","N","EMC IV","","","","","","","","","","","","21748a7de113a4ffc65f209195b7d25b","931359","James Gamble","","","","",""
"113","Y","Dune","2019-05-03 20:00:00","2019-05-03 23:00:00","Gaming","","BG 2-6 players; Set thousands of years in the future, Dune the board game is based on the Frank Herbert novels about an arid planet at the heart of the human space empire's political machinations. Player interaction is generated through negotiation and bluffing. Players each take the role of one of the factions attempting to control Dune, with each faction having special powers that overlook certain rules in the game. The game concludes when one faction (or two allied factions) is able to control a certain number of strongholds on the planet.","","","","","0","1","0","N","Gaming (TC's Room)","","","","","","","","","","","","2311136867a33880d066d384cdfc568a","931386","Eric McGlohon","","","","",""
"139","Y","Egiza","2019-05-04 15:00:00","2019-05-04 17:00:00","Gaming","","BG 2-4 players; The game lasts 5 turns. In each turn, the players place their pawns on the board, along the banks of the Nile, getting the advantages shown on each square. On the right bank there are fixed squares where the players may get workers, improve their mercantile capabilities, influence the floods (and thus the fertility of the fields) and reserve the right to build the monuments (that are built only after all the placements are done). On the left bank the players may take cards that are deployed randomly on the 10 squares at the start of each turn; some of these cards are kept until the end of the game (cultivable fields, stone quarries, deities granting special advantages), while others are discarded after the use and offer multiple immediate advantages.","","","","","0","0","0","N","Gaming (TC's Room)","","","","","","","","","","","","24e1c9efeb9d7ea9405c6f427a7b9d39","931386","Mike Dudash","","","","",""
"89","Y","Will it Sphere-ify","2019-05-03 19:00:00","2019-05-03 20:00:00","Food","","Spherification is a technique that transforms liquids into solid, edible spheres. People can use this technique to add color, texture, and flavor to their dishes. Join me as I experiment with spherification and try out a bunch of different liquids and see, WILL IT SPHERIFY?","","","","","0","20","0","N","Food [317]","","","","","","","","","","","","2584edcc6bdadc9e19992f6abba4c330","931350","Frannie","","","","",""
"24","Y","Anime Director Spotlight: Satoshi Kon","2019-05-03 20:00:00","2019-05-03 21:00:00","Anime","","Kon wrote and directed four movies and a TV series before his tragic death. His highly-acclaimed work has been described as 'gritty, intense, and at times even nightmarish,' with themes of obsession and illusion vs reality. We'll check them out, discussing themes, styles, and what makes them worth watching, ending with an open discussion.","","","","","0","1","0","N","EMC V","","","","","","","","","","","","26532d0bd2e632ff953dd7f18b4cb87c","931353","Paul Kemner","","","","",""
"211","Y","Categorizing and Classification: Are Genres Still a Thing?","2019-05-05 10:00:00","2019-05-05 11:00:00","Lit","","Sci-Fi. Fantasy. Horror. How well does what you are reading, watching, or perhaps creating, fall into these broad categories? Then there are all of the numerous sub-genres which make up the speculative fiction spectrum. The panel discusses the uses and perhaps misuses of classifying a work into one or more genres.","","","","","0","8","0","N","Algonquin B","","","","","","","","","","","","268753fd1a51bea4cd01f4b58f8a0664","931395","Mary Lynne Gibbs, Michael Cieslak","","","","",""
"183","Y","The NPC Strategy Guide: The Job Hunt Begins","2019-05-05 13:00:00","2019-05-05 14:00:00","Life","","On the hunt for a new job? Learn some new strategies for resumes, interviews, networking, etc.","","","","","0","7","0","N","Charlevoix A","","","","","","","","","","","","26ae4c8309c4fe359a8b3348a2de8131","931323","Ryan","","","","",""
"53","Y","Rave & Circus Toys","2019-05-04 11:00:00","2019-05-04 12:00:00","DIY","","You've seen all those glowy and flashy toys at a rave or in a video. If you've ever wondered what they are or how to use them, then this panel is for you. Many of those toys are adapted from the circus world, and there will be two professional circus performers here to answer those questions.","","","","","0","9","0","N","Charlevoix A","","","","","","","","","","","","28490a45823655ff6a11d6a8ecdcf836","931323","April Jennifer Choi","","","","",""
"19","Y","Rope Safety and Sadism","2019-05-04 22:00:00","2019-05-05 00:00:00","After Dark","","This class will start with a discussion about safety designed to help riggers and bunnies alike. We will briefly cover why we tie where we tie, basic safety tools, nerves, and knowing when to end the session. After that we will roll into a hands on demonstration with several ties designed to make your partner wriggle and writhe. Please bring two hanks of rope for this panel. Partners are encouraged, however these ties can be done on yourself.","","","","","0","16","0","N","Algonquin A","","","","","","","","","","","","286aaa9a8e73a7ceb8014795e883e4f4","931341","Toga","","","","",""
"138","Y","Istanbul","2019-05-04 13:00:00","2019-05-04 14:00:00","Gaming","","BG 2-5 players; There's hustle and bustle at Istanbul's grand bazaar as merchants and their assistants rush through the narrow alleys in their attempt to be more successful than their competitors. Everything must be well organized: wheelbarrows must be filled with goods at the warehouses, then swiftly transported by the assistants to various destinations. Your goal? Be the first merchant to collect a certain number of rubies.","","","","","0","2","0","N","Gaming (TC's Room)","","","","","","","","","","","","2871269519d63f10abc4cf82ce567bf3","931386","Mike Dudash","","","","",""
