speakerlist,['Shannon M.']
hours,0
totalminutes,50
caldescrip,"Everything they told you is wrong.  Examing the 'truth' of romantic comedies. A funny, interactive discussion on what Hollywood feels 'true love' is and how it has directly affected your own perception of romantic love.  Tweet your favorite 'good' or 'bad' rom-com movie clip to @ShannonsParty to be added to the discussion."
endtime,16:50
name,Romantic Comedies Ruined My Life
Private,PUBLIC
venue,Salon A
Book Description,"Everything they told you is wrong. Examing the ""truth"" of romantic comedies. A funny, interactive discussion on what Hollywood feels ""true love"" is and how it has directly affected your own perception of romantic love. Tweet your favorite ""good"" or ""bad"" rom-com movie clip to @ShannonsParty to be added to the discussion."
Presenters,Shannon M.
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Life and (un)Death
All Day Event,FALSE
event_end,16:50
endday,4/26/13
private,PUBLIC
endtimeampm,4 PM
Location,Perry
duration,50 minutes
description,"Body language can be a difficult thing to read without some experience. We'll illuminate some of the more common body language people displace, and also give tips on how not to come off as creepy, which can be a lot harder than it sounds."
index,3
speakers,"Mitch “Duckman” Peters, Jennifer Peters, Miss Molly"
Track,Life and (un)Death
startday,4/26/13
Title,Body Language and You: How Not to be a Creeper . . . Again
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,16:50
tracknosp,LifeandunDeath
input,"['4/26/13', '16:00', '4/26/13', '16:50', 'Perry', 'Life and (un)Death', 'Body Language and You: How Not to be a Creeper . . . Again', 'Mitch \xe2\x80\x9cDuckman\xe2\x80\x9d Peters, Jennifer Peters, Miss Molly', ""Body language can be a difficult thing to read without some experience. We'll illuminate some of the more common body language people displace, and also give tips on how not to come off as creepy, which can be a lot harder than it sounds."", 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,"Mitch “Duckman” Peters, Jennifer Peters, Miss Molly"
speakerlist,"['Mitch \xe2\x80\x9cDuckman\xe2\x80\x9d Peters', 'Jennifer Peters', 'Miss Molly']"
hours,0
totalminutes,50
caldescrip,"Body language can be a difficult thing to read without some experience. We'll illuminate some of the more common body language people displace, and also give tips on how not to come off as creepy, which can be a lot harder than it sounds."
endtime,16:50
name,Body Language and You: How Not to be a Creeper . . . Again
Private,PUBLIC
venue,Perry
Book Description,"Body language can be a difficult thing to read without some experience. We'll illuminate some of the more common body language people displace, and also give tips on how not to come off as creepy, which can be a lot harder than it sounds."
Presenters,"Mitch “Duckman” Peters, Jennifer Peters, Miss Molly"
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Life and (un)Death
All Day Event,FALSE
event_end,16:50
endday,4/26/13
private,PUBLIC
endtimeampm,4 PM
Location,Wisner
duration,50 minutes
description,"If you're attending this convention, you've already heard of Burning Man. But have you heard of Lakes of Fire? It's our regional Burning Man event that demands awesome things. We built a 24' by 30' floating platform that became a venue for a rockin' afternoon party and spectacle of light at night (well, almost). Now that the hard part is out of the way in 2012, we're working on plans to add on for 2013. The overall theme for the 4-day event is ""superstition"" and the possibilities are many. Come and hear about what a theme camp is and how we conceived, designed, built, and partied on a floating platform in the middle of a lake. You may be motivated to build your own theme camp for Burning Man or Lakes of Fire, or you can get your feet wet helping with this one!"
index,4
speakers,"Roger Slykhouse, Mario Corsetti"
Track,Life and (un)Death
startday,4/26/13
Title,How We Built a Jukebox Island!
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,16:50
tracknosp,LifeandunDeath
